raw_comment,raw_reply,processed_comment,processed_reply
Legend Are Watching In 2024 😂,Yeh bro🎉,legend are watching in,yeh bro
2024 me dekhne vale hajiri lagao❤😅,Idhar hu bahen,me dekhne vale hajiri lagao,idhar hu bahen
Jai shree Ram 🚩🚩🚩,Lindus,jai shree ram,lindus
Kaun Kaun 2050 main dekh rahe hai,🤚mai,kaun kaun  main dekh rahe hai,mai
Kaun Kaun 2050 main dekh rahe hai,Ek saal jaldi aagya 2049,kaun kaun  main dekh rahe hai,ek saal jaldi aagya
Khana khaate time kon kon ye show dekhta hai❤🎉,Abhi dekh rha hu,khana khaate time kon kon ye show dekhta hai,abhi dekh rha hu
Khna khate time kon kon dekhra 2024 m attendence lagao😊,Mai Roj dekh ta। Hu roti kha te,khna khate time kon kon dekhra  m attendence lagao,mai roj dekh ta hu roti kha te
17 Feb 2024 ko kaun kaun dekh rha h😂😂😂😂😂,Me😂😂😂😂,feb  ko kaun kaun dekh rha h,me
17 Feb 2024 ko kaun kaun dekh rha h😂😂😂😂😂,Me 😂😂😂😂,feb  ko kaun kaun dekh rha h,me
17 Feb 2024 ko kaun kaun dekh rha h😂😂😂😂😂,mai daily khana khate tym dekhti hu,feb  ko kaun kaun dekh rha h,mai daily khana khate tym dekhti hu
Kon kon ye aankh se dekh rha ha,Bhai ye video 2024 mae aya tha😂,kon kon ye aankh se dekh rha ha,bhai ye video  mae aya tha
Mai yeh episode 2026 mai dekhra huu,Chal jhuta😂,mai yeh episode  mai dekhra huu,chal jhuta
Kon kon Mehta family ka conversation skip krta ya krti hai 😂😂😂,Meeee,kon kon mehta family ka conversation skip krta ya krti hai,meeee
Akhbar se godi media yaad aa gaya 🤣,Aur tumhare comment se pappuvadi yaad aagya😂😂😂,akhbar se godi media yaad aa gaya,aur tumhare comment se pappuvadi yaad aagya
Meri motiiii Tarak Mehta chasma bahut jyda dekhti hai 😂😂😂😂,Mara motu b  😆,meri motiiii tarak mehta chasma bahut jyda dekhti hai,mara motu b
Meri motiiii Tarak Mehta chasma bahut jyda dekhti hai 😂😂😂😂,@@user-ul6pq8kq9m 😂😂😂😂,meri motiiii tarak mehta chasma bahut jyda dekhti hai,userulpqkqm
Kal board ka exam hai.phir bhi ye episode dekh ne ka gamand ha,Kis subject k practical h bhai,kal board ka exam haiphir bhi ye episode dekh ne ka gamand ha,kis subject k practical h bhai
Kal board ka exam hai.phir bhi ye episode dekh ne ka gamand ha,12th ka kyy bhai😂,kal board ka exam haiphir bhi ye episode dekh ne ka gamand ha,th ka kyy bhai
Kon kon ye 2050 me dekh rha hai,Bs....k  wo aaya kaha😂😂sir,kon kon ye  me dekh rha hai,bsk  wo aaya kahasir
Kon kon ye 2050 me dekh rha hai,Bhaiya ji lekin 2024 chal raha hai😂😂😂,kon kon ye  me dekh rha hai,bhaiya ji lekin  chal raha hai
Kon kon ye 2050 me dekh rha hai,​@@GeetaRajput-lq4oh❤😂,kon kon ye  me dekh rha hai,geetarajputlqoh
Legends are always skip Anjali and Tarak conversation😂😂,Yes,legends are always skip anjali and tarak conversation,yes
Meri mummy 😂😂,Mere mummy,meri mummy,mere mummy
Abhi kuch log bolenge- Kaun kaun khate khate dekh rha hai😂😂,Tum he to bol rahe ho bhai😂😂,abhi kuch log bolenge kaun kaun khate khate dekh rha hai,tum he to bol rahe ho bhai
This exam will be best exam of my life ❤,This exam will be the best exam of my life😊😊,this exam will be best exam of my life,this exam will be the best exam of my life
Kon kon 2024 me ye episode dekh raha hai😂😂😅,Bhai 2024 m hi upload hua h. 💀,kon kon  me ye episode dekh raha hai,bhai  m hi upload hua h
Khana khate vakt kon kon tmkoc dekhta hai like kro,Bhai dek hi raha hoon😅,khana khate vakt kon kon tmkoc dekhta hai like kro,bhai dek hi raha hoon
"<a href=""https://www.youtube.com/watch?v=Ytt3kM8aLKQ&amp;t=825"">13:45</a> ayyar laughing very funny...Tears welled up in my eyes.😂😂😅😢😂",Echo laughing 😂,a hrefhttpswwwyoutubecomwatchvyttkmalkqampta ayyar laughing very funnytears welled up in my eyes,echo laughing
"<a href=""https://www.youtube.com/watch?v=Ytt3kM8aLKQ&amp;t=825"">13:45</a> ayyar laughing very funny...Tears welled up in my eyes.😂😂😅😢😂",​@@niteshjareda8556😂😅,a hrefhttpswwwyoutubecomwatchvyttkmalkqampta ayyar laughing very funnytears welled up in my eyes,niteshjareda
"<a href=""https://www.youtube.com/watch?v=Ytt3kM8aLKQ&amp;t=825"">13:45</a> ayyar laughing very funny...Tears welled up in my eyes.😂😂😅😢😂",Iyyff,a hrefhttpswwwyoutubecomwatchvyttkmalkqampta ayyar laughing very funnytears welled up in my eyes,iyyff
Kon kon 2024 me dekhrha hii h😂😂😅🎉,Mai,kon kon  me dekhrha hii h,mai
Tmkoc hate button ✅,Sorry,tmkoc hate button,sorry
Yarr lyerr bohat cute hai 🥰❤,Insta I&#39;d btao apni,yarr lyerr bohat cute hai,insta id btao apni
Yarr lyerr bohat cute hai 🥰❤,Yes,yarr lyerr bohat cute hai,yes
1V1 challenge ff,Aja uid 6639014359,v challenge ff,aja uid
Episode no. Pls,In description bro...,episode no pls,in description bro
Aaj mara birthday hai koi wish nahi kiya.,Happy birthday bro ❤🎉,aaj mara birthday hai koi wish nahi kiya,happy birthday bro
Purene Wale episode ka baat hi alag h❤❤❤,Ha,purene wale episode ka baat hi alag h,ha
Episode number kya hai,Thanks bro ❤🎉❤❤,episode number kya hai,thanks bro
Kon kon daily mobile par old tmkoc serial old character old comedy old tapu sena babita ji jethalal pure love story serial acting + comedy expression ko daily khana khatey samey daily family ke saath milkar dekhna pasand karte hain 😊,FC uuuyh,kon kon daily mobile par old tmkoc serial old character old comedy old tapu sena babita ji jethalal pure love story serial acting  comedy expression ko daily khana khatey samey daily family ke saath milkar dekhna pasand karte hain,fc uuuyh
Kia kis ka board exam hai 😂😂,Hamara,kia kis ka board exam hai,hamara
Kia kis ka board exam hai 😂😂,Tera,kia kis ka board exam hai,tera
Kia kis ka board exam hai 😂😂,Hello bro,kia kis ka board exam hai,hello bro
Thumbnail is so funny 🤣😂😂 LoL 😂😃😄😄😅😅😅😅😅😅😅😂😂😂😂😂 Iyer Bhai and jethalal 😂😂😂😂😂😂,"Yeh scene <a href=""https://www.youtube.com/watch?v=Ytt3kM8aLKQ&amp;t=833"">13:53</a> me hai 😂",thumbnail is so funny  lol  iyer bhai and jethalal,yeh scene a hrefhttpswwwyoutubecomwatchvyttkmalkqampta me hai
